GROUP;CODE;EN;DE;SP;FR;XXX
MESSAGES;MULTIPLE_ACTIVATION_WARNING;Are you sure to activate this ads ?;Sind sie sicher, dass sie diese Annonce löschen wollen?;Activará los registros seleccionados ¿Está seguro?;Etes-vous sûr de vouloir activer ces annonces ?;
MESSAGES;MULTIPLE_DEACTIVATION_WARNING;Are you sure to deactivate this ads ?;Sind sie sicher, dass sie diese Annonce löschen wollen?;Desactivará los registros seleccionados ¿Está seguro?;Etes-vous sûr de vouloir désactiver ces annonces ?;
MESSAGES;NO_RECORD_SELECTED;No records selected.;No records selected.;No hay registros seleccionados.;Aucun enregistrement n?a été choisi.;
MESSAGES;SECTIONISNOTEMPTY;Cannot delete this section, there are contents linked to thy.<br>Only empty sections can be removed.;Cannot delete this section, there are contents linked to thy.<br>Only empty sections can be removed.;No se puede borrar la sección ya que tiene contenidos asociados a ella.<br> Sólo está permitido borrar una sección vacía.;Vous ne pouvez pas éliminer cette section. Des enregistrements y sont liés.<br>Seul les sections vides peuvent être éliminées.;
MESSAGES;CONFIRMATION;Are you sure?;Sind Sie sicher ?;¿Usted está seguro?;Etes-vous sur?;
MESSAGES;MUST_SELECT_A_TYPE;you must select a type before adding a card;you must select a type before adding a card;Debe seleccionar un tipo antes de agregar una ficha.;Vous devez choisir un type avant d?ajouter une fiche;
MESSAGES;THANKS;Thanks;Danke schon;Gracias.;merci;
MESSAGES;GOODBYE;Goodbye;Auf wiedersen;Hasta pronto.;Au revoir;
MESSAGES;HELLO;Hello;Guten Tag;Bienvenido.;Bonjour;
MESSAGES;PASSWORDRECOVERY;Password recovery;Password Recovery;Recuperación de contraseña;Rappel de mot de passe;
MESSAGES;PASSWORDRECOVERYSUBJECT;This a message from you site;This a message from you site;This a message from you site;This a message from you site;
MESSAGES;MUSTINSERTMAIL;you must complete your email.;you must complete your email.;Debe completar su email.;Vous devez compléter votre mail.;
MESSAGES;PASSWORDMAILSENT;Your password has been sent to your email box.;Your password has been sent to your email box.;Su contraseña ha sido enviada a su casilla de correo.;Votre mot de passe vous a été envoyé sur votre boîte email.;
MESSAGES;UPDATEYOURDATA;Update your client data if needed.;Update your client data if needed.;Actualize sus datos en caso de ser necesario.;Actualisez vos données si nécessaire.;
MESSAGES;MAILSENT;We have received your request and we will process it immediately.;Wir haben Ihre Anfrage erhalten und werden diese umgehend bearbeiten.;Hemos recibido su consulta y le vamos a contestar lo mas pronto posible.;Nous avons bien reçu votre demande et allons la traiter dans les meilleurs délais.;
;;;;;;
;;;;;;
ERRORMESSAGES;LOGERROR;Sorry, your log-in was incorrect. Please review the fields.;User or password incorrect, please try again.;Usuario incorrecto o contraseña incorrecta, por favor intente nuevamente.;Log-in incorrect. Veuillez compléter les champs s'il vous plait.;
ERRORMESSAGES;ERROR;ERROR;ERROR;ERROR;ERREUR;
ERRORMESSAGES;QUERY_ERROR;QUERY ERROR;QUERY ERROR;QUERY ERROR;ERREUR DE REQUETE;
ERRORMESSAGES;ROOT_ADMIN_ERROR;Root cannot be deleted;Root cannot be deleted;El usuario root no puede ser borrado;L'admin Root ne peut être eliminé;
ERRORMESSAGES;NOACTIONDEFINED;ERROR: no action defined;ERROR: no action defined;ERROR: no se definió ninguna acción;ERREUR: pas d?actions définies;
ERRORMESSAGES;PERMISSION_NOT_GRANTED;permission not granted;permission not granted;permisos requeridos;sans permission;
ERRORMESSAGES;RECORD_CREATION_ERROR;ERROR on create record;ERROR on create record;ERROR en la creación de registro.;ERREUR création enregistrement;
ERRORMESSAGES;RECORD_UPDATE_ERROR;ERROR on update record;ERROR on update record;ERROR en la modificación de registro;ERREUR modification enregistrement;
ERRORMESSAGES;RECORD_DELETE_ERROR;ERROR on delete record;ERROR on delete record;ERROR en la eliminación de registro;ERREUR élimination enregistrement;
ERRORMESSAGES;WARNING;WARNING;WARNING;CUIDADO;ATTENTION;
ERRORMESSAGES;FILE_NOT_FOUND;File not found.;File not found.;Archivo no encontrado.;Fichier introuvable.;
ERRORMESSAGES;UPLOAD_ERROR;Error uploading file.;Error uploading file.;Error al subir el archivo.;Erreur upload fichier.;
ERRORMESSAGES;FIELD_REQUIRED;Required field;erforderliches Feld;Campos requeridos;Champ requis;
ERRORMESSAGES;FIELDSAREMISSING;Fields are missing;erforderliches Feld;Hay campos requeridos.;Des champs manquants;
ERRORMESSAGES;RECORD_NOT_FOUND;Record not found.;Record not found.;Registro no encontrado.;Enregistrement introuvable.;
ERRORMESSAGES;RECORD_UPDATE_ERROR;Couldn't update the record.;Couldn't update the record.;No se pudo actualizar el registro.;Modification de l?enregistrement impossible.;
ERRORMESSAGES;RECORD_DELETION_ERROR;Couldn't delete the record.;Couldn't delete the record.;No se pudo borrar el registro.;Elimination de l?enregistrement impossible.;
ERRORMESSAGES;RECORD_CONSTRAINT;There's another record linked to this one. You cannot delete a linked record.;There's another record linked to this one. You cannot delete a linked record.;Existe otro registro asociado a este registro. Deberá el eliminar las referencias a este registro.;Un autre enregistrement est lié a celui-ci. Il est interdit d?éliminer un enregistrement lié.;
ERRORMESSAGES;MAILNOTSENT;Email could not be sent, please check that field's data is correct. Fill the form and press Send button.;Email konnte nicht gesendet werden, bitte überprüfen sie die eingegebenen Daten.;Email no puedo ser enviado, por favor verifique que los datos sean correctos. Complete el formulario y presione Send.;Votre email n'a pas pu être envoyé.<br/> Merci de vérifier que les champs sont correctement renseignés.;
ERRORMESSAGES;REQUIREDFIELD;Required field;Erforderliches Feld;Campos requeridos;Champ requis;
ERRORMESSAGES;INVALIDEMAIL;Invalid email;Ungültige E-Mail;Email inválido;Courrier incorrect;
ERRORMESSAGES;NICKNOTAVAILABLE;This email is already registered, insert a new one;This email is already registered, insert a new one;Este email ya ha sido registrado, ingrese uno nuevo.;Email déjà utilisé, veuillez essayer un nouvel email.;
ERRORMESSAGES;MAILUNREGISTERED;User unregistered;Your email is not registered.;Su email no se encuentra registrado;Utilisateur non enregistré.;
ERRORMESSAGES;CLIENTALREADYREGISTERED;User already registered;User already registered.;Usuario ya registrado;Utilisateur déjà.;
ERRORMESSAGES;SIGNOUTTOREGISTER;Sign out to register;Sign out to register;Sign out to register;Sign out to register;
ERRORMESSAGES;WRONGVISUALCONFIRMATIONCODE;Wrong visual confirmation code;Wrong visual confirmation code;Código de verificación visual incorrecto;Code de vérification visuelle incorrect;
ERRORMESSAGES;PASSWORDCONFIRMATIONFAILED;Passwords do not match. Please re-enter.;Die Passwörter stimmen nicht überein. Bitte erneut eingeben.;Las contraseñas no coinciden. Prueba otra vez.;Les Mots de Passe ne correspondent pas. Réessayez s'il vous plait.;
ERRORMESSAGES;LOGINORREGISTER;Log in or register.;Log in or register.;Inicie sesión, regístrese como proveedor o haga su consulta.;Enregistrez vous;
